day;month;year;Univalle;Lomitas;Bengala;Gja_exp_hoeschst;Union;Apto_Farfan;Aeropuerto;Amaime;Arroyohondo;Bocas_del_Palo;Buga;Bugalagrande;Candelaria;Cartago;Cenicana;Corinto;Distrito_RUT;El_Naranjo;El_Tiple;Ginebra;Guacari;Guachinte;Jamundi;La_Paila;La_Virginia;Melendez;Miranda;Ortigal;Palmira_la_Rita;Palmira_San_Jose;Pradera;PTAR_Cali;Riofrio;Rozo;San_Marcos;Santander_de_Quilichao;Tulua;Viterbo;Yotoco;Zarzal
1;9;1993;NA;NA;NA;NA;NA;NA;NA;0,3;NA;NA;NA;NA;14,7;NA;0,4;NA;NA;0,4;NA;NA;5,4;NA;NA;0,3;0,4;13,2;1,3;NA;3,1;NA;NA;NA;NA;NA;2,9;NA;11,2;NA;NA;NA
2;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0,4;NA;NA;0,1;NA;NA;0,3;NA;NA;0;0;0;0,2;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
3;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0,1;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
4;9;1993;NA;NA;NA;NA;NA;NA;NA;0,4;NA;NA;NA;NA;1,8;NA;1,7;NA;NA;2,4;NA;NA;0,3;NA;NA;0;0,1;2;11,2;NA;1,3;NA;NA;NA;NA;NA;16,1;NA;5,5;NA;NA;NA
5;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;1,5;NA;6,6;NA;NA;4,1;NA;NA;0,6;NA;NA;7,2;5,4;0,1;6,3;NA;1,2;NA;NA;NA;NA;NA;9,9;NA;1,5;NA;NA;NA
6;9;1993;NA;NA;NA;NA;NA;NA;NA;28,3;NA;NA;NA;NA;19;NA;23,6;NA;NA;22,6;NA;NA;26;NA;NA;16,9;11,8;9,8;27;NA;55,4;NA;NA;NA;NA;NA;26,3;NA;22,8;NA;NA;NA
7;9;1993;NA;NA;NA;NA;NA;NA;NA;0,7;NA;NA;NA;NA;0;NA;0,5;NA;NA;0,2;NA;NA;0;NA;NA;0,1;0,3;0;2;NA;1,1;NA;NA;NA;NA;NA;0,1;NA;0,1;NA;NA;NA
8;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0,5;NA;2,1;NA;NA;4,2;NA;NA;0;NA;NA;4,5;0,1;0,7;9,2;NA;0,4;NA;NA;NA;NA;NA;0;NA;1,5;NA;NA;NA
9;9;1993;NA;NA;NA;NA;NA;NA;NA;0,8;NA;NA;NA;NA;0,4;NA;0,9;NA;NA;3,3;NA;NA;0,4;NA;NA;17,8;47,4;0,1;0,1;NA;5,3;NA;NA;NA;NA;NA;4;NA;13,3;NA;NA;NA
10;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0,1;NA;NA;0;NA;NA;0;1,1;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0,1;NA;NA;NA
11;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0,1;NA;NA;0;NA;NA;0,4;NA;NA;0,3;0;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
12;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;2,4;NA;0;NA;NA;0;NA;NA;7,6;NA;NA;4,6;9,9;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
13;9;1993;NA;NA;NA;NA;NA;NA;NA;4,4;NA;NA;NA;NA;3,3;NA;0,5;NA;NA;0;NA;NA;6,9;NA;NA;36;18,2;14,5;0;NA;1,8;NA;NA;NA;NA;NA;1,1;NA;30,9;NA;NA;NA
14;9;1993;NA;NA;NA;NA;NA;NA;NA;25,5;NA;NA;NA;NA;8,9;NA;2,1;NA;NA;0;NA;NA;16,6;NA;NA;12,7;15;3,5;0,1;NA;25,4;NA;NA;NA;NA;NA;3,5;NA;4;NA;NA;NA
15;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;1,3;NA;4,8;NA;NA;2,2;NA;NA;12,1;NA;NA;1,5;0,2;0,1;3,9;NA;0;NA;NA;NA;NA;NA;0;NA;1,3;NA;NA;NA
16;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;14,4;2;0;0,5;NA;0;NA;NA;NA;NA;NA;0;NA;0,2;NA;NA;NA
17;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0,5;NA;NA;0,1;NA;NA;0;NA;NA;0;1,3;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0,6;NA;NA;NA
18;9;1993;NA;NA;NA;NA;NA;NA;NA;3,4;NA;NA;NA;NA;0,5;NA;1,1;NA;NA;9,7;NA;NA;10,4;NA;NA;42,2;0;0;22,5;NA;3,2;NA;NA;NA;NA;NA;3,8;NA;2;NA;NA;NA
19;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0,2;NA;NA;0;NA;NA;0;0;0;6,8;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
20;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0,1;NA;NA;0;NA;NA;0;NA;NA;0;0;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
21;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0,4;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
22;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0,1;NA;NA;0;NA;NA;0,3;0;0,1;0;NA;0,9;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
23;9;1993;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;5,8;NA;16;NA;NA;1,2;NA;NA;26,1;NA;NA;18,5;21,3;0,5;4,5;NA;6,6;NA;NA;NA;NA;NA;6,3;NA;4,2;NA;NA;NA
24;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0,1;NA;0,7;NA;NA;2,4;NA;NA;0;NA;NA;0;0;0;0;NA;0,1;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
25;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0,1;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0,1;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
26;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;8,8;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0,3;NA;NA;NA
27;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;1,1;NA;NA;0;NA;NA;0;2;1,6;0,9;NA;0;NA;NA;NA;NA;NA;15,9;NA;0,8;NA;NA;NA
28;9;1993;NA;NA;NA;NA;NA;NA;NA;5,3;NA;NA;NA;NA;11,9;NA;1,7;NA;NA;15,1;NA;NA;32,6;NA;NA;39,8;13;10,4;5,1;NA;7,8;NA;NA;NA;NA;NA;4,8;NA;15,3;NA;NA;NA
29;9;1993;NA;NA;NA;NA;NA;NA;NA;59,9;NA;NA;NA;NA;11,6;NA;47,4;NA;NA;13,9;NA;NA;24,7;NA;NA;7,4;5,5;34;34;NA;13,5;NA;NA;NA;NA;NA;11,9;NA;23,1;NA;NA;NA
30;9;1993;NA;NA;NA;NA;NA;NA;NA;7,3;NA;NA;NA;NA;0,8;NA;0;NA;NA;0,9;NA;NA;0,4;NA;NA;2,5;0;6,8;1,8;NA;0,4;NA;NA;NA;NA;NA;0,5;NA;0,1;NA;NA;NA
1;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;6,4;NA;2,2;NA;NA;11,6;NA;NA;4,4;NA;NA;9,6;0;16,9;6,5;NA;3,5;NA;NA;NA;NA;NA;18,9;NA;0;NA;NA;NA
2;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;8,8;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
3;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;3,4;2,1;0;0,1;NA;0,1;NA;NA;NA;NA;NA;7,4;NA;0;NA;NA;NA
