day;month;year;Univalle;Lomitas;Bengala;Gja_exp_hoeschst;Union;Apto_Farfan;Aeropuerto;Amaime;Arroyohondo;Bocas_del_Palo;Buga;Bugalagrande;Candelaria;Cartago;Cenicana;Corinto;Distrito_RUT;El_Naranjo;El_Tiple;Ginebra;Guacari;Guachinte;Jamundi;La_Paila;La_Virginia;Melendez;Miranda;Ortigal;Palmira_la_Rita;Palmira_San_Jose;Pradera;PTAR_Cali;Riofrio;Rozo;San_Marcos;Santander_de_Quilichao;Tulua;Viterbo;Yotoco;Zarzal
1;1;1993;20;NA;NA;NA;19,8;19;NA;NA;NA;NA;NA;NA;NA;NA;19,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1;1993;19;NA;NA;17,6;18,4;17,2;NA;NA;NA;NA;NA;NA;NA;NA;18,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1;1993;20,8;NA;NA;18;19,8;19,4;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1;1993;20,4;NA;NA;18,6;20,6;19,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1;1993;20;NA;NA;18,6;19,6;18,4;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1;1993;18,4;NA;NA;NA;18,2;15,6;NA;NA;NA;NA;NA;NA;NA;NA;17,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1;1993;18,6;NA;NA;17,2;18,6;17;NA;NA;NA;NA;NA;NA;NA;NA;18,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1;1993;18,2;NA;NA;NA;18,8;17,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1;1993;16,8;NA;NA;NA;15,8;15,3;NA;NA;NA;NA;NA;NA;NA;NA;15,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1;1993;19,4;NA;NA;NA;16,2;17;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1;1993;19,6;NA;NA;17;18,8;19,2;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1;1993;20;NA;NA;NA;18,2;18;NA;NA;NA;NA;NA;NA;NA;NA;19,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1;1993;20,6;NA;NA;NA;18,8;18;NA;NA;NA;NA;NA;NA;NA;NA;19,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1;1993;20,2;NA;NA;NA;19,4;17,2;NA;NA;NA;NA;NA;NA;NA;NA;18,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1;1993;NA;NA;NA;NA;19,6;18,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1;1993;18,8;NA;NA;19,2;19,4;18;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1;1993;19,2;NA;NA;20;19,4;18,1;NA;NA;NA;NA;NA;NA;NA;NA;19,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1;1993;18,6;NA;NA;18;19,2;16;NA;NA;NA;NA;NA;NA;NA;NA;17,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1;1993;19,8;NA;NA;18,4;18,4;18,8;NA;NA;NA;NA;NA;NA;NA;NA;18,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1;1993;19;NA;NA;18,6;19,8;18,1;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1;1993;20,8;NA;NA;18,8;20,2;18,4;NA;NA;NA;NA;NA;NA;NA;NA;20,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;1;1993;20,8;NA;NA;19;19,2;18;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;1;1993;20;NA;NA;20,4;19,4;18,3;NA;NA;NA;NA;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;1;1993;20,6;NA;NA;19;18,4;18,4;NA;NA;NA;NA;NA;NA;NA;NA;19,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;1;1993;20;NA;NA;19,6;19,4;18;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;1;1993;19;NA;NA;NA;18,2;17,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;1;1993;20;NA;NA;NA;19,2;18,6;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;1;1993;20,8;NA;NA;20;20;20,1;NA;NA;NA;NA;NA;NA;NA;NA;19,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;1;1993;20,6;NA;NA;17;20,4;20;NA;NA;NA;NA;NA;NA;NA;NA;20,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;1;1993;20,6;NA;NA;NA;19,6;20;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;1;1993;20,2;NA;NA;18,4;19,8;19;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;1993;19,6;NA;NA;20;19,8;18,1;NA;NA;NA;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2;1993;19,8;NA;NA;NA;20,2;19;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2;1993;NA;NA;NA;18,2;20;18,2;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2;1993;18,6;NA;NA;17,6;18,2;17,4;NA;NA;NA;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2;1993;19,8;NA;NA;18,2;19;19;NA;NA;NA;NA;NA;NA;NA;NA;18,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;2;1993;20,2;NA;NA;NA;20;19,2;NA;NA;NA;NA;NA;NA;NA;NA;19,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;2;1993;19,6;NA;NA;18,4;20,4;19,4;NA;NA;NA;NA;NA;NA;NA;NA;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;2;1993;19,4;NA;NA;19,4;19;18;NA;NA;NA;NA;NA;NA;NA;NA;19,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;2;1993;19,9;NA;NA;NA;20;20;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;2;1993;20,1;NA;NA;20,2;18,4;18;NA;NA;NA;NA;NA;NA;NA;NA;19,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;2;1993;19,8;NA;NA;19,8;19,2;18,2;NA;NA;NA;NA;NA;NA;NA;NA;19,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;2;1993;20;NA;NA;NA;18,6;18,2;NA;NA;NA;NA;NA;NA;NA;NA;18,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
